expStartTime, subjectID, condition, trial_num, timespent, xcoord, ycoord, current_angle, last_angle, interval_300ms, total_avg_turned, resource_encountered, resource_encountered_here_before, food_eaten, timesteps_left
20165623222324,0003,c,1,-2.0418920121203206,100.0,100.0,4,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-2.0249087639634338,100.0,100.0,4,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-2.0071158120221124,100.0,100.0,4,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.9906539737507123,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.9738336929165248,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.9573851144535335,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.9407141133978816,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.9255192284331355,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.9087622524907053,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.892033934843868,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.8751760132632302,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.8577564746361253,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.8404045182583284,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.824769493201568,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.8075728049028783,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.791452299764061,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.7754883459116162,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.7594213077421883,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.7424701397669353,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.7255493410302958,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.7090571335202824,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.6924263396256114,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.675881948353474,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.6594543289424832,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.642774773171729,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.6254057073637276,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.609029843979106,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.592719424165017,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.5754457434304066,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.5581267227057538,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.542435236529318,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.5243509965387623,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.5096877871176257,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.4918144208543422,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.475190042995998,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.459339011382904,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.4434383624222162,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.426831521729832,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.410285847250429,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.3942898132163504,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.3780542471594068,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.3626129863997138,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.3458504498924673,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.328135345858577,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.31199815902531,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.2960731291265808,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.278032090447292,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.2622332425963219,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.2456845739666331,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.2280426127468678,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.1499714272515582,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.1320150802517823,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.1187903461751014,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.1056746847159749,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.0898925185594543,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.073580387802345,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.0567596792324025,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.0387314726257673,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.0225438129733966,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-1.0060781250802004,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-0.9894657238229994,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-0.9735270063801065,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-0.954689095989036,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-0.9384051957917645,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-0.9203047018425146,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-0.9037008553004156,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-0.8865811594376471,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-0.8718148656995273,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-0.8497697926165961,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-0.8362246844593333,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-0.8156788251980842,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-0.803819423651734,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-0.7867322357063542,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-0.7689127641482152,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-0.7525056760534703,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-0.7363103171575074,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-0.7184690310758577,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-0.702633825685703,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-0.686426062452842,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-0.6708308168213071,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-0.654493449654646,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-0.637626973358906,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-0.6219153836019795,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-0.6041840256093951,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-0.5870754508762595,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-0.5694831070040873,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-0.554273251287912,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-0.5363109159875648,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-0.5158544534991347,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-0.5028328939061342,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-0.4866084489788234,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-0.46912517772420603,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-0.4533579823191145,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-0.4364068143438615,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-0.4194727557988136,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-0.4038197658403382,100.0,100.0,329,74,NA,0,false,false,0,2400
20165623222324,0003,c,1,-0.3860742925678342,100.0,100.0,329,74,NA,0,false,false,0,2400
